e,!,!=,#,&,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,Identifier,Integer-Number,[,],bool,break,char,else,factor,float,if,int,return,statement,string,void,while,{,|,}
18,-,-,[57],[58],-,-,-,[302],[492],-,[1366],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
20,-,-,[57],[58],-,-,-,[302],[492],-,[245],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[246],-,-,-,-,-,-,-,-,-,[169],-
22,-,-,-,-,-,-,-,-,-,-,[22],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[23],-,-,-,-,-,-,-,-,-,-,-
23,-,-,[57],[58],-,-,-,[302],[492],-,[245],[303],[325],[54],[55],[51],[56],[52],[53],-,-,-,-,-,-,-,-,[246],-,-,-,-,-,-,-,-,-,[169],-
25,-,[251],-,-,-,-,-,-,-,-,[257],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[258],-,-,-,-,-,-,-,-,-,-,-
26,-,[251],-,-,-,-,-,-,-,-,[265],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[266],-,-,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-,-,[30],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[31],-,-,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-,-,[39],-,-,-,-,-,-,-,-,[339],-,-,-,-,-,-,-,[40],-,-,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-,-,[39],-,-,-,-,-,-,-,-,[339],-,-,[351],-,-,-,-,[40],-,-,-,-,-,-,-,-,-,-,-
37,-,-,[57],[58],-,-,-,[302],[492],-,[1366],[303],[325],[54],[55],[51],[56],[52],[53],[363],-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
39,-,-,-,-,-,-,-,-,-,-,[39],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[40],-,-,-,-,-,-,-,-,-,-,-
42,-,-,-,-,-,-,-,-,-,-,[47],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[48],-,-,-,-,-,-,-,-,-,-,-
43,-,-,-,-,-,-,-,-,-,-,[443],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[444],-,-,-,-,-,-,-,-,-,-,-
47,-,-,-,-,[471],-,-,-,-,-,[47],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[48],-,-,-,-,-,-,-,-,-,-,-
48,-,-,[57],[58],-,-,-,[302],[492],-,[1366],[303],[325],[54],[55],[51],[56],[52],[53],[363],-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,-,-,-,-,-,-,-,-,-,-,[521],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,-,-,-,-,-,-,-,[542],-,-,-,[543],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,-,-,-,-,-,-,-,-,-,-,[576],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[577],-,-,-,-,-,-,-,-,-,-,-
58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,-,-,-,-,-,-,-,[302],[492],-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
62,-,-,-,-,-,-,-,-,-,-,[625],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[626],-,-,-,-,-,-,-,-,-,-,-
63,-,[631],-,-,-,-,-,-,-,-,[637],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[638],-,-,-,-,-,-,-,-,-,-,-
64,-,-,-,-,-,-,-,[302],[492],-,[645],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[646],-,-,-,-,-,-,-,-,-,[169],-
66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[72],-,-,-,-,-,-,-,-,-,-,-
68,-,-,-,-,-,-,-,[682],-,-,-,[683],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[72],-,-,-,-,-,-,-,-,-,-,-
72,-,-,-,-,-,-,-,[302],[492],-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
74,-,-,-,-,-,-,-,-,-,-,[80],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[81],-,-,-,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,-,-,[773],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[774],-,-,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,-,-,[302],[492],-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
83,-,-,-,-,-,-,-,[872],-,-,[835],[873],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[836],-,-,-,-,-,-,-,-,-,-,-
85,-,-,-,-,-,-,-,[872],-,-,[835],[873],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[836],-,-,-,-,-,-,-,-,-,-,-
87,-,-,-,-,-,-,-,[872],-,-,[88],[873],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[89],-,-,-,-,-,-,-,-,-,-,-
89,-,-,-,-,-,-,-,[302],[492],-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
91,-,[94],-,-,-,-,-,-,-,-,[100],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[101],-,-,-,-,-,-,-,-,-,-,-
94,-,[94],-,-,-,-,-,-,[942],-,[100],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[101],-,-,-,-,-,-,-,-,-,-,-
96,-,[961],[135],[136],-,-,-,[302],-,-,[955],[303],[325],[132],[133],[129],[134],[130],[131],-,-,-,-,-,-,-,-,[956],-,-,-,-,-,-,-,-,-,[169],-
98,-,[961],[135],[136],-,-,-,[302],-,-,[955],[303],[325],[132],[133],[129],[134],[130],[131],-,-,-,-,-,-,-,-,[956],-,-,-,-,-,-,-,-,-,[169],-
100,-,-,-,-,-,-,-,-,-,-,[100],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[101],-,-,-,-,-,-,-,-,-,-,-
101,-,[961],[135],[136],-,-,-,[302],-,-,[955],[303],[325],[132],[133],[129],[134],[130],[131],-,-,-,-,-,-,-,-,[956],-,-,-,-,-,-,-,-,-,[169],-
103,-,-,-,-,-,-,-,-,-,-,[1076],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[1077],-,-,-,-,-,-,-,-,-,-,-
111,-,-,-,-,-,-,-,-,[1112],-,[117],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[118],-,-,-,-,-,-,-,-,-,-,-
112,-,-,-,-,-,-,-,-,[1112],-,[1125],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[1126],-,-,-,-,-,-,-,-,-,-,-
113,-,[1131],-,-,-,-,-,-,[1112],-,[1137],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[1138],-,-,-,-,-,-,-,-,-,-,-
115,-,[961],[135],[136],-,-,-,[302],-,-,[1145],[303],[325],[132],[133],[129],[134],[130],[131],-,-,-,-,-,-,-,-,[1146],-,-,-,-,-,-,-,-,-,[169],-
117,-,-,-,-,-,-,-,-,-,-,[117],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[118],-,-,-,-,-,-,-,-,-,-,-
118,-,[961],[135],[136],-,-,-,[302],-,-,[1145],[303],[325],[132],[133],[129],[134],[130],[131],-,-,-,-,-,-,-,-,[1146],-,-,-,-,-,-,-,-,-,[169],-
120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,-,-,-,-,-,-,-,-,-,[1366],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,-,-
126,-,[961],[135],[136],-,-,-,[302],-,-,[1265],[303],[325],[132],[133],[129],[134],[130],[131],-,-,-,-,-,-,-,-,[1266],-,-,-,-,-,-,-,-,-,[169],-
128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[142],-,-,-,-,-,-,-,-,-,-,-
129,-,-,[1329],[1330],-,-,-,-,-,-,-,-,-,[1326],[1327],[1323],[1328],[1324],[1325],-,-,-,-,-,-,-,-,[142],-,-,-,-,-,-,-,-,-,-,-
131,-,-,-,-,-,-,-,-,-,-,[1311],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[142],-,-,-,-,-,-,-,-,-,-,-
138,-,-,-,-,-,-,-,[302],[153],-,[955],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[956],-,-,-,-,-,-,-,-,-,[169],-
142,-,-,-,-,-,-,-,[302],[153],-,[955],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[956],-,-,-,-,-,-,-,-,-,[169],-
144,-,-,-,-,-,-,-,-,-,-,[149],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[150],-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,-,-,-,-,-,[158],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[159],-,-,-,-,-,-,-,-,-,-,-
161,-,-,-,-,-,-,-,-,-,-,[166],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[167],-,-,-,-,-,-,-,-,-,-,-
169,-,[173],-,-,-,-,-,-,-,-,[179],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[180],-,-,-,-,-,-,-,-,-,-,-
171,-,-,-,-,[248],-,-,[302],-,-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
175,-,-,[214],[215],[248],-,-,[302],-,-,[1366],[303],[325],[211],[212],[208],[213],[209],[210],-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
177,-,-,[214],[215],[248],-,-,[302],[191],-,[1366],[303],[325],[211],[212],[208],[213],[209],[210],-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
179,-,-,-,-,-,-,-,-,-,-,[179],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[180],-,-,-,-,-,-,-,-,-,-,-
182,-,-,-,-,-,-,-,-,-,-,[187],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[188],-,-,-,-,-,-,-,-,-,-,-
190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
194,-,-,[214],[215],[248],-,-,[302],[191],-,[1366],[303],[325],[211],[212],[208],[213],[209],[210],-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
196,-,-,-,-,-,-,-,-,-,-,[196],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[197],-,-,-,-,-,-,-,-,-,-,-
199,-,-,-,-,-,-,-,-,-,-,[204],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[205],-,-,-,-,-,-,-,-,-,-,-
207,-,-,-,-,-,-,-,-,-,-,[220],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[221],-,-,-,-,-,-,-,-,-,-,-
221,-,-,-,-,[248],-,-,[302],-,-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
223,-,-,-,-,-,-,-,-,-,-,[228],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[229],-,-,-,-,-,-,-,-,-,-,-
231,-,-,-,-,-,-,-,-,-,-,[237],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[238],-,-,-,-,-,-,-,-,-,-,-
235,-,-,-,-,[248],-,-,[302],-,-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
244,-,-,-,-,-,-,-,-,-,-,[245],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[246],-,-,-,-,-,-,-,-,-,-,-
248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
253,-,-,[292],[293],[248],-,-,[302],-,-,[1366],[303],[325],[289],[290],[286],[291],[287],[288],-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
255,-,-,[292],[293],[248],-,-,[302],[269],-,[1366],[303],[325],[289],[290],[286],[291],[287],[288],-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
257,-,-,-,-,-,-,-,-,-,-,[257],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[258],-,-,-,-,-,-,-,-,-,-,-
260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
264,-,-,-,-,-,-,-,-,-,-,[265],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[266],-,-,-,-,-,-,-,-,-,-,-
268,-,-,-,-,-,-,-,-,-,-,[274],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[275],-,-,-,-,-,-,-,-,-,-,-
272,-,-,[292],[293],[248],-,-,[302],[269],-,[1366],[303],[325],[289],[290],[286],[291],[287],[288],-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
277,-,-,-,-,-,-,-,-,-,-,[282],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[283],-,-,-,-,-,-,-,-,-,-,-
285,-,-,-,-,-,-,-,-,-,-,[298],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[299],-,-,-,-,-,-,-,-,-,-,-
295,-,-,-,-,[248],-,-,[302],[310],-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
301,-,-,-,-,-,-,-,-,-,-,[306],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[307],-,-,-,-,-,-,-,-,-,-,-
309,-,-,-,-,-,-,-,-,-,-,[315],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[316],-,-,-,-,-,-,-,-,-,-,-
313,-,-,-,-,[248],-,-,[302],[310],-,[1366],[303],[325],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,[169],-
318,-,-,-,-,-,-,-,-,-,-,[323],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[324],-,-,-,-,-,-,-,-,-,-,-
(325),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
327,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[1371],-,[1372],-,-,[1367],-,[1368],-,[378],[1369],[1370],-,-,-,[379]
331,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
339,-,-,-,-,-,-,-,-,-,[345],-,-,-,-,-,-,-,-,-,-,-,[341],-,[1371],-,[1372],-,-,[1367],-,[1368],-,[378],[1369],[1370],-,-,-,[379]
341,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[342],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[343],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
343,-,-,-,-,-,-,-,-,-,[345],-,-,-,-,-,-,-,-,-,-,-,-,-,[1371],-,[1372],-,-,[1367],-,[1368],-,[378],[1369],[1370],-,-,-,[379]
345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[347],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
347,-,-,-,-,-,-,-,-,-,[345],-,-,-,-,-,-,-,-,-,-,-,[349],-,[1371],-,[1372],-,-,[1367],-,[1368],-,[378],[1369],[1370],-,-,-,[379]
349,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[350],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[359],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
359,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[360],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
362,-,-,-,-,-,-,-,-,-,[369],-,-,[376],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
363,-,-,-,-,-,-,-,-,-,[369],-,-,[376],-,-,-,-,-,-,-,-,[365],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[366],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[367],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[371],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
371,-,-,-,-,-,-,-,-,-,[369],-,-,[376],-,-,-,-,-,-,-,-,[373],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
373,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[374],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[375],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
378,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[378],-,-,-,-,-,[379]
(379),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
381,-,-,-,-,-,[382],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
382,-,[396],-,-,-,-,-,-,-,-,[402],-,-,-,-,-,-,-,-,[386],-,-,-,-,-,-,-,[403],-,-,-,-,-,-,-,-,-,-,-
386,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[391],-,-,-,-,-,[388],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
388,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[389],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
389,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[390],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[391],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
393,-,-,-,-,-,-,[705],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[549],-
395,-,[396],-,-,-,-,-,-,-,-,[402],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[403],-,-,-,-,-,-,-,-,-,-,-
398,-,-,[437],[438],-,-,[705],-,-,-,-,-,-,[434],[435],[431],[436],[432],[433],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[549],-
400,-,-,[437],[438],-,-,[705],[406],[414],-,[415],[407],-,[434],[435],[431],[436],[432],[433],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[549],-
402,-,-,-,-,-,-,-,-,-,-,[402],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[403],-,-,-,-,-,-,-,-,-,-,-
405,-,-,-,-,-,-,-,-,-,-,[410],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[411],-,-,-,-,-,-,-,-,-,-,-
413,-,-,-,-,-,-,-,-,-,-,[419],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[420],-,-,-,-,-,-,-,-,-,-,-
417,-,-,[437],[438],-,-,[705],[423],[414],-,[415],[424],-,[434],[435],[431],[436],[432],[433],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[549],-
422,-,-,-,-,-,-,-,-,-,-,[427],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[428],-,-,-,-,-,-,-,-,-,-,-
430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
433,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
434,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
436,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
